subno,helpful,reliant,defbel,yielding,cheerful,indpt,athlet,shy,assert,strpers,forceful,affect,flatter,loyal,analyt,feminine,sympathy,moody,sensitiv,undstand,compass,leaderab,soothe,risk,decide,selfsuff,conscien,dominant,masculin,stand,happy,softspok,warm,truthful,tender,gullible,leadact,childlik,individ,foullang,lovchil,compete,ambitiou,gentle,semestertime
1,7,7,5,5,7,7,7,1,7,7,2,7,4,7,1,2,6,3,7,7,7,6,7,2,7,7,7,1,1,7,7,7,7,7,7,2,2,1,7,3,7,7,7,7,1
2,5,6,6,6,2,3,3,3,4,1,3,5,4,5,6,5,5,4,5,5,4,4,4,3,3,5,5,4,1,4,4,6,5,6,5,6,4,3,4,7,7,4,4,4,1
3,7,6,4,4,5,5,2,3,4,4,3,5,2,7,5,6,5,2,4,6,6,4,7,3,5,6,6,2,1,4,6,4,5,7,6,3,3,1,6,2,5,2,4,5,1
4,6,6,7,4,6,6,3,4,4,3,3,5,3,7,6,6,5,2,6,6,6,2,6,5,5,6,6,4,2,6,6,5,6,6,5,4,3,2,5,6,6,4,6,5,1
5,6,6,7,4,7,7,7,2,7,7,5,7,4,7,7,4,7,3,7,6,7,7,7,7,7,5,7,6,4,7,6,4,7,7,7,5,6,2,6,5,7,7,7,7,1
7,5,6,7,4,6,6,2,4,4,2,2,5,3,7,7,7,6,4,5,5,5,3,5,1,3,7,7,2,1,7,6,6,6,7,4,1,3,1,7,4,7,1,5,6,1
8,6,4,6,6,6,3,1,3,3,4,1,7,7,6,4,4,7,3,6,6,6,1,6,1,4,4,4,1,1,5,5,1,5,5,5,5,1,2,5,1,7,1,1,5,1
9,7,6,7,5,6,7,5,2,5,6,6,7,3,7,7,6,6,4,6,6,6,6,5,4,4,6,7,4,1,7,6,6,6,7,6,1,5,2,7,2,6,4,4,6,1
10,7,6,6,4,4,5,2,2,5,7,6,6,6,6,7,6,4,4,6,6,5,5,5,4,4,6,5,5,9,7,3,4,5,6,5,2,6,3,6,6,5,3,5,5,1
11,7,4,7,4,7,5,2,1,5,6,4,7,7,7,7,5,5,1,5,6,6,4,6,2,1,5,5,4,2,6,7,6,7,7,6,7,5,5,6,1,7,4,4,7,1
